Increasing from: 11 to 12
sigma,# new nodes,# new evens
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,2,0
13,2,0
14,4,0
15,6,0
16,10,0
17,14,0
18,22,0
19,30,0
20,44,0
21,60,0
22,84,0
23,111,3
24,151,10
25,194,16
26,255,42
27,325,28
28,417,28
29,521,32
30,657,22
31,808,32
32,1000,38
33,1214,40
34,1476,54
35,1767,50
36,2121,58
37,2507,78
38,2966,90
39,3469,70
40,4053,124
41,4685,110
42,5414,124
43,6191,162
44,7074,180
45,8012,196
46,9058,186
47,10160,226
48,11379,172
49,12642,232
50,14022,254
51,15445,216
52,16976,276
53,18534,268
54,20197,314
55,21865,300
56,23624,350
57,25372,354
58,27185,340
59,28962,362
60,30790,338
61,32544,448
62,34325,474
63,36010,372
64,37688,442
65,39238,444
66,40763,408
67,42125,510
68,43436,450
69,44564,468
70,45612,404
71,46457,462
72,47214,472
73,47740,468
74,48166,394
75,48363,424
76,48446,386
77,48297,446
78,48042,388
79,47553,370
80,46966,334
81,46164,348
82,45270,302
83,44180,282
84,43024,340
85,41686,198
86,40304,282
87,38778,304
88,37223,194
89,35552,224
90,33885,196
91,32126,216
92,30397,198
93,28610,150
94,26868,160
95,25098,120
96,23399,126
97,21688,80
98,20064,82
99,18456,70
100,16941,80
101,15457,76
102,14080,56
103,12740,52
104,11510,58
105,10329,42
106,9252,38
107,8230,32
108,7312,30
109,6443,18
110,5672,24
111,4954,12
112,4321,14
113,3735,4
114,3228,12
115,2760,8
116,2361,12
117,1998,2
118,1690,2
119,1413,4
120,1184,8
121,976,0
122,808,0
123,658,4
124,537,0
125,430,2
126,347,0
127,273,0
128,217,0
129,168,0
130,131,0
131,99,0
132,77,0
133,56,0
134,42,0
135,30,0
136,22,0
137,15,0
138,11,0
139,7,0
140,5,0
141,3,0
142,2,0
143,1,0
144,1,0
