sigma,# of nodes
0,0
1,1
2,0
3,1
4,0
5,3
6,0
7,3
8,2
9,5
10,2
11,3
12,10
13,9
14,10
15,9
16,14
17,17
18,14
19,23
20,42
21,45
22,28
23,55
24,74
25,62
26,90
27,80
28,88
29,112
30,114
31,138
32,142
33,128
34,174
35,164
36,170
37,212
38,262
39,230
40,274
41,260
42,294
43,336
44,358
45,372
46,362
47,438
48,382
49,456
50,478
51,422
52,512
53,504
54,574
55,560
56,574
57,574
58,598
59,568
60,556
61,650
62,664
63,514
64,594
65,576
66,566
67,630
68,582
69,554
70,498
71,542
72,514
73,544
74,452
75,468
76,404
77,468
78,412
79,384
80,342
81,362
82,314
83,284
84,342
85,198
86,282
87,304
88,194
89,224
90,196
91,216
92,198
93,150
94,160
95,120
96,126
97,80
98,82
99,70
100,80
101,76
102,56
103,52
104,58
105,42
106,38
107,32
108,30
109,18
110,24
111,12
112,14
113,4
114,12
115,8
116,12
117,2
118,2
119,4
120,8
121,0
122,0
123,4
124,0
125,2
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
