sigma,# of nodes
0,0
1,1
2,2
3,3
4,5
5,7
6,11
7,15
8,22
9,30
10,42
11,56
12,75
13,97
14,127
15,162
16,207
17,259
18,325
19,400
20,493
21,598
22,724
23,866
24,1034
25,1221
26,1438
27,1678
28,1951
29,2250
30,2586
31,2949
32,3351
33,3782
34,4252
35,4751
36,5288
37,5850
38,6448
39,7067
40,7716
41,8380
42,9066
43,9759
44,10465
45,11168
46,11872
47,12562
48,13241
49,13894
50,14524
51,15116
52,15671
53,16178
54,16637
55,17038
56,17381
57,17658
58,17870
59,18012
60,18084
61,18084
62,18012
63,17870
64,17658
65,17381
66,17038
67,16637
68,16178
69,15671
70,15116
71,14524
72,13894
73,13241
74,12562
75,11872
76,11168
77,10465
78,9759
79,9066
80,8380
81,7716
82,7067
83,6448
84,5850
85,5288
86,4751
87,4252
88,3782
89,3351
90,2949
91,2586
92,2250
93,1951
94,1678
95,1438
96,1221
97,1034
98,866
99,724
100,598
101,493
102,400
103,325
104,259
105,207
106,162
107,127
108,97
109,75
110,56
111,42
112,30
113,22
114,15
115,11
116,7
117,5
118,3
119,2
120,1
121,1
